YEAR,MO,DY,HR,WS50M,WD50M
2006,1,16,16,8.08,114.9
2006,1,16,17,8.89,114.3
2006,1,16,18,9.59,112.5
2006,1,16,19,9.9,109.8
2006,1,16,20,9.97,109.3
2006,1,16,21,9.55,110.7
2006,1,16,22,9.01,112.5
2006,1,16,23,8.41,114.5
2006,1,17,0,7.8,116.8
2006,1,17,1,7.37,119.8
2006,1,17,2,6.83,123.9
2006,1,17,3,6.49,128.4
2006,1,17,4,6.45,129.8
2006,1,17,5,6.21,130.7
2006,1,17,6,6.19,131.3
2006,1,17,7,8.42,125.9
2006,1,17,8,8.89,124.1
2006,1,17,9,8.71,123.4
2006,1,17,10,8.35,122.2
2006,1,17,11,7.93,120.7
2006,1,17,12,7.56,118.9
2006,1,17,13,7.31,117.6
2006,1,17,14,7.2,116.8
2006,1,17,15,7.36,115.9
2006,1,17,16,7.87,114.1
2006,1,17,17,8.63,112.6
2006,1,17,18,9.32,111.7
2006,1,17,19,9.2,110.6
2006,1,17,20,9.34,111.8
2006,1,17,21,9.32,112.7
2006,1,17,22,8.37,112.6
2006,1,17,23,7.65,113.6
2006,1,18,0,7.27,116.8
2006,1,18,1,7.0,121.2
2006,1,18,2,6.68,123.6
2006,1,18,3,6.42,123.7
2006,1,18,4,6.47,122.2
2006,1,18,5,6.6,120.6
2006,1,18,6,6.76,119.4
2006,1,18,7,8.32,117.7
2006,1,18,8,8.29,118.9
2006,1,18,9,7.66,121.8
2006,1,18,10,7.08,123.6
2006,1,18,11,6.61,122.5
2006,1,18,12,6.26,120.8
2006,1,18,13,6.09,120.1
2006,1,18,14,6.08,119.2
2006,1,18,15,6.26,118.4
2006,1,18,16,6.87,116.2
2006,1,18,17,7.97,113.3
2006,1,18,18,9.18,111.4
2006,1,18,19,9.93,111.2
2006,1,18,20,9.88,112.0
2006,1,18,21,9.22,113.6
2006,1,18,22,8.45,115.8
2006,1,18,23,7.73,118.4
2006,1,19,0,7.25,120.9
2006,1,19,1,7.13,121.9
2006,1,19,2,6.67,122.3
2006,1,19,3,6.06,123.0
2006,1,19,4,5.81,123.9
2006,1,19,5,5.63,124.9
2006,1,19,6,5.98,124.8
2006,1,19,7,7.79,123.5
